 CLIF   36.01950 -120.54600 952.0000
 CRAB   36.01175 -120.55347 859.0000
 CRAK   35.95547 -120.52248 716.0000
 CVCR   35.99475 -120.52800 839.0000
 CVC3   35.99447 -120.52843 819.0000
 DBLT   35.96017 -120.58435 732.0000
 FLIP   35.97153 -120.53295 815.0000
 GERD   35.97610 -120.63598 505.0000
 GLEN   35.93347 -120.56453 784.0000
 GOBI   35.93987 -120.54248 699.0000
 GULY   35.94920 -120.51150 721.0000
 HIDE   35.96598 -120.54878 667.0000
 HOTF   35.96152 -120.52998 736.0000
 ISKK   36.00248 -120.50298 1024.0000
 JETS   35.96063 -120.50913 855.0000
 KARL   36.00525 -120.51770 1009.0000
 KEYS   35.97732 -120.60972 577.0000
 KOOL   36.00317 -120.54687 829.0000
 LAST   35.98933 -120.54767 754.0000
 LCCB   35.98007 -120.51423 670.0000
 LEEP   35.99290 -120.50657 1013.0000
 LOMB   35.96173 -120.66183 469.0000
 MAPL   36.04720 -120.45757 457.0000
 MATZ   36.08472 -120.51468 460.0000
 MINE   35.97087 -120.46312 808.0000
 MMCR   35.96083 -120.50667 797.0000
 MMEC   35.97167 -120.49817 604.0000
 MMEN   35.97900 -120.51000 656.0000
 MMES   35.96250 -120.48833 568.0000
 MMNB   35.95650 -120.49600 733.0000
 MMSU   35.96800 -120.52033 866.0000
 MMWC   35.95383 -120.51900 684.0000
 MMWN   35.95933 -120.52983 707.0000
 MMWS   35.94317 -120.50717 629.0000
 MOH9   35.97372 -120.56727 673.0000
 MRED   35.96382 -120.48348 610.0000
 MUST   35.97243 -120.42467 1031.0000
 NOXV   35.95758 -120.56137 697.0000
 PAKD   35.98203 -120.56172 705.0000
 PHP    35.98055 -120.60682 567.0000
 PIES   35.99703 -120.55775 666.0000
 PIGH   35.96332 -120.56627 716.0000
 PIG3   35.97022 -120.56007 654.0000
 PINE   35.96567 -120.51648 857.0000
 PINN   36.04712 -120.55247 1053.0000
 PMM    35.95633 -120.49848 778.0000
 POKE   35.99567 -120.54317 789.0000
 POLE   36.00545 -120.57437 582.0000
 POND   36.01478 -120.57067 742.0000
 POST   36.02838 -120.57252 828.0000
 POWR   36.00773 -120.53422 958.0000
 PPC    35.94967 -120.59535 609.0000
 PRIS   35.97817 -120.48933 633.0000
 PSM    36.06880 -120.59618 997.0000
 PST    35.93070 -120.51475 591.0000
 PVC    35.92207 -120.53498 791.0000
 RAIN   35.98417 -120.48567 734.0000
 RCKY   35.96133 -120.60517 710.0000
 RITA   35.88747 -120.46205 581.0000
 RMNB   36.00087 -120.47772 1196.0000
 SAGE   35.98252 -120.52277 795.0000
 SCYB   36.00942 -120.53662 695.0000
 SLAK   35.99333 -120.57202 732.0000
 SMNB   35.97297 -120.57988 450.0000
 STAL   36.02072 -120.55983 874.0000
 STAM   36.03072 -120.61135 761.0000
 STGI   36.02638 -120.58820 778.0000
 TANK   35.98532 -120.54192 769.0000
 TIM7   35.99500 -120.48433 920.0000
 UPUP   36.03450 -120.56037 876.0000
 VCAB   35.92162 -120.53392 589.0000
 VINE   35.94615 -120.53912 617.0000
 WELD   35.93833 -120.52843 607.0000
 JCNB   35.93897 -120.43112 343.0000
 JCSB   35.92117 -120.43400 333.0000
 PFR    35.91073 -120.48737 548.0000
 PHO    35.86667 -120.47972 799.0000
 NE15   35.99417 -120.52755 821.0000
 NE14   35.99358 -120.52822 802.0000
 NE13   35.99293 -120.52905 799.0000
 NE12   35.99232 -120.52987 796.0000
 NE11   35.99175 -120.53052 788.0000
 NE10   35.98690 -120.53490 697.0000
 NE09   35.98660 -120.53530 710.0000
 NE08   35.98633 -120.53573 717.0000
 NE07   35.98618 -120.53593 718.0000
 NE06   35.98603 -120.53612 713.0000
 NE05   35.98588 -120.53633 717.0000
 NE04   35.98573 -120.53653 721.0000
 NE03   35.98558 -120.53672 726.0000
 NE02   35.98542 -120.53692 731.0000
 NE01   35.98528 -120.53712 733.0000
 ST00   35.98515 -120.53733 736.0000
 SW01   35.98500 -120.53753 737.0000
 SW02   35.98485 -120.53773 744.0000
 SW03   35.98470 -120.53792 749.0000
 SW04   35.98457 -120.53812 754.0000
 SW05   35.98442 -120.53833 759.0000
 SW06   35.98427 -120.53853 763.0000
 SW07   35.98410 -120.53872 771.0000
 SW08   35.98395 -120.53890 776.0000
 SW09   35.98365 -120.53928 772.0000
 SW10   35.98338 -120.53968 752.0000
 SW11   35.98060 -120.54348 689.0000
 SW12   35.98002 -120.54432 685.0000
 SW13   35.97943 -120.54513 684.0000
 SW14   35.97882 -120.54595 694.0000
 NW08   35.98930 -120.54257 676.0000
 NW07   35.98897 -120.54220 680.0000
 NW06   35.98863 -120.54183 689.0000
 NW05   35.98830 -120.54140 694.0000
 NW04   35.98797 -120.54100 702.0000
 NW03   35.98648 -120.53817 723.0000
 NW02   35.98608 -120.53788 730.0000
 NW01   35.98562 -120.53758 737.0000
 SE01   35.98477 -120.53707 740.0000
 SE02   35.98438 -120.53678 746.0000
 SE03   35.98400 -120.53653 750.0000
 SE04   35.98360 -120.53625 752.0000
 SE05   35.98322 -120.53598 749.0000
 DB01   35.97402 -120.55205 -1436.0000
 DB02   35.97402 -120.55205 -1396.0000
 DB03   35.97400 -120.55205 -1356.0000
 DB04   35.97398 -120.55205 -1316.0000
 DB05   35.97397 -120.55207 -1276.0000
 DB06   35.97397 -120.55207 -1236.0000
 DB07   35.97397 -120.55208 -1196.0000
 DB08   35.97397 -120.55208 -1156.0000
 DB09   35.97397 -120.55208 -1116.0000
 DB10   35.97398 -120.55208 -1075.0000
 DB11   35.97400 -120.55208 -1036.0000
 DB12   35.97402 -120.55207 -996.0000
